[2026-04-23 15:54:32,533] 117 root - INFO - ChromaDB stored at: vectorstore\agreement-between-publisher-and-author
[2026-04-23 15:54:32,534] 110 root - INFO - Step 2: ChromaDB ingestion completed.
[2026-04-23 15:54:32,534] 112 root - INFO - Data ingestion pipeline completed successfully.
[2026-04-23 15:54:58,608] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-04-23 15:55:09,183] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-04-23 15:55:32,857] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-04-23 15:55:52,098] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-04-23 16:09:23,204] 90 root - INFO - Data ingestion pipeline started.
[2026-04-23 16:09:23,211] 177 sentence_transformers.base.model - INFO - No device provided, using cuda:0
[2026-04-23 16:09:24,797] 973 sentence_transformers.base.model - INFO - Loading SentenceTransformer model from ArchitRastogi/BGE-Small-LegalEmbeddings-USCode.
[2026-04-23 16:09:31,148] 95 root - INFO - Step 1: Clause parsing started.
[2026-04-23 16:09:31,148] 358 root - INFO - Starting clause parsing.
[2026-04-23 16:09:31,148] 359 root - INFO - Input file: data\raw\cancellation-of-an-agreement.docx
[2026-04-23 16:09:31,164] 368 root - INFO - Extracted 16 raw non-empty paragraphs from document.
[2026-04-23 16:09:31,164] 372 root - INFO - Agreement heading detected: CANCELLATION OF AN AGREEMENT
[2026-04-23 16:09:31,167] 377 root - INFO - Built 14 logical lines after sentence splitting and joining.
[2026-04-23 16:09:31,167] 386 root - INFO - Stop marker encountered: 'IN WITNESS whereof, the said________________________ _________ Company, acting through its partner, Shri __________________________ and the Agent, the said Shri_________________ _________ have hereunto signed at _________ the day and the year first above-written.'. Stopping parse.
[2026-04-23 16:09:31,170] 441 root - INFO - Saved 2 clauses to data\parsed\cancellation-of-an-agreement_clauses.json
[2026-04-23 16:09:31,171] 442 root - INFO - Source file recorded: cancellation-of-an-agreement.docx
[2026-04-23 16:09:31,171] 100 root - INFO - Step 1: Clause parsing completed.
[2026-04-23 16:09:31,171] 103 root - INFO - Step 2: ChromaDB ingestion started.
[2026-04-23 16:09:31,171] 89 root - INFO - Starting ChromaDB ingestion.
[2026-04-23 16:09:31,171] 90 root - INFO - JSON source: data\parsed\cancellation-of-an-agreement_clauses.json
[2026-04-23 16:09:31,171] 91 root - INFO - ChromaDB directory: vectorstore\cancellation-of-an-agreement
[2026-04-23 16:09:31,171] 92 root - INFO - Collection name: cancellation-of-an-agreement_clauses
[2026-04-23 16:09:31,624] 116 root - INFO - Inserted 2 records into collection 'cancellation-of-an-agreement_clauses'.
[2026-04-23 16:09:31,624] 117 root - INFO - ChromaDB stored at: vectorstore\cancellation-of-an-agreement
[2026-04-23 16:09:31,624] 110 root - INFO - Step 2: ChromaDB ingestion completed.
[2026-04-23 16:09:31,624] 112 root - INFO - Data ingestion pipeline completed successfully.
[2026-04-23 16:09:41,756] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-04-23 16:10:00,609] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-04-23 16:10:25,703] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-04-23 16:11:08,247] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2026-04-23 16:12:48,766] 1025 httpx - INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
